,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
326,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-18-40.893180807,0,1900-01-01 15:18:40.893180807
327,,L02197.DIRECTORY.INTRA,<=,304b,304b,304b,76B,15-18-40.893180807,76,1900-01-01 15:18:40.893180807
328,1,172.21.134.247,=>,544b,544b,544b,136B,15-22-24.962775347,136,1900-01-01 15:22:24.962775347
329,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-22-24.962775347,864,1900-01-01 15:22:24.962775347
330,1,172.21.134.247,=>,636b,636b,636b,159B,15-18-37.704182536,159,1900-01-01 15:18:37.704182536
331,,L02197.DIRECTORY.INTRA,<=,2.05Kb,2.05Kb,2.05Kb,524B,15-18-37.704182536,524,1900-01-01 15:18:37.704182536
332,2,239.255.255.250,=>,0b,0b,0b,0B,15-18-37.704182536,0,1900-01-01 15:18:37.704182536
333,,L02197.DIRECTORY.INTRA,<=,792b,792b,792b,198B,15-18-37.704182536,198,1900-01-01 15:18:37.704182536
334,3,mdns.mcast.net,=>,0b,0b,0b,0B,15-18-37.704182536,0,1900-01-01 15:18:37.704182536
335,,L02197.DIRECTORY.INTRA,<=,320b,320b,320b,80B,15-18-37.704182536,80,1900-01-01 15:18:37.704182536
336,1,172.21.134.247,=>,0b,0b,0b,0B,15-18-14.100135108,0,1900-01-01 15:18:14.100135108
337,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-18-14.100135108,864,1900-01-01 15:18:14.100135108
338,1,172.21.134.247,=>,544b,544b,544b,136B,15-24-13.556619262,136,1900-01-01 15:24:13.556619262
339,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-24-13.556619262,864,1900-01-01 15:24:13.556619262
340,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-24-13.556619262,0,1900-01-01 15:24:13.556619262
341,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-24-13.556619262,79,1900-01-01 15:24:13.556619262
342,1,172.21.134.247,=>,736b,736b,736b,184B,15-19-13.997215513,184,1900-01-01 15:19:13.997215513
343,,L02197.DIRECTORY.INTRA,<=,2.44Kb,2.44Kb,2.44Kb,624B,15-19-13.997215513,624,1900-01-01 15:19:13.997215513
344,1,172.21.134.247,=>,1.06Kb,1.06Kb,1.06Kb,272B,15-21-01.644960136,272,1900-01-01 15:21:01.644960136
345,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-21-01.644960136,864,1900-01-01 15:21:01.644960136
346,2,239.255.255.250,=>,0b,0b,0b,0B,15-21-01.644960136,0,1900-01-01 15:21:01.644960136
347,,L02197.DIRECTORY.INTRA,<=,812b,812b,812b,203B,15-21-01.644960136,203,1900-01-01 15:21:01.644960136
348,1,172.21.134.247,=>,0b,0b,0b,0B,15-21-22.417029523,0,1900-01-01 15:21:22.417029523
349,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-21-22.417029523,864,1900-01-01 15:21:22.417029523
350,1,172.21.134.247,=>,0b,0b,0b,0B,15-22-09.696542332,0,1900-01-01 15:22:09.696542332
351,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-22-09.696542332,432,1900-01-01 15:22:09.696542332
352,1,172.21.134.247,=>,544b,544b,544b,136B,15-21-14.746239548,136,1900-01-01 15:21:14.746239548
353,,L02197.DIRECTORY.INTRA,<=,3.73Kb,3.73Kb,3.73Kb,956B,15-21-14.746239548,956,1900-01-01 15:21:14.746239548
354,1,172.21.134.247,=>,544b,544b,544b,136B,15-18-01.984936719,136,1900-01-01 15:18:01.984936719
355,,L02197.DIRECTORY.INTRA,<=,5.81Kb,5.81Kb,5.81Kb,1.45KB,15-18-01.984936719,1450,1900-01-01 15:18:01.984936719
356,1,172.21.134.247,=>,544b,544b,544b,136B,15-18-52.757474806,136,1900-01-01 15:18:52.757474806
357,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-18-52.757474806,432,1900-01-01 15:18:52.757474806
358,2,172.21.143.255,=>,0b,0b,0b,0B,15-18-52.757474806,0,1900-01-01 15:18:52.757474806
359,,L02197.DIRECTORY.INTRA,<=,288b,288b,288b,72B,15-18-52.757474806,72,1900-01-01 15:18:52.757474806
360,1,172.21.134.247,=>,544b,544b,544b,136B,15-19-01.327092893,136,1900-01-01 15:19:01.327092893
361,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-19-01.327092893,864,1900-01-01 15:19:01.327092893
362,2,239.255.255.250,=>,0b,0b,0b,0B,15-19-01.327092893,0,1900-01-01 15:19:01.327092893
363,,L02197.DIRECTORY.INTRA,<=,812b,812b,812b,203B,15-19-01.327092893,203,1900-01-01 15:19:01.327092893
364,1,172.21.134.247,=>,544b,544b,544b,136B,15-24-37.084860561,136,1900-01-01 15:24:37.084860561
365,,L02197.DIRECTORY.INTRA,<=,5.58Kb,5.58Kb,5.58Kb,1.39KB,15-24-37.084860561,1390,1900-01-01 15:24:37.084860561
366,2,239.255.255.250,=>,0b,0b,0b,0B,15-24-37.084860561,0,1900-01-01 15:24:37.084860561
367,,L02197.DIRECTORY.INTRA,<=,792b,792b,792b,198B,15-24-37.084860561,198,1900-01-01 15:24:37.084860561
